word,total_count,high_emotion_count,high_emotion_ratio,avg_intensity,intensity_lift,dominant_emotion,dominant_emotion_score,negative_ratio,emo_anger,emo_fear,emo_joy,emo_sadness,emo_disgust,emo_surprise,emo_trust,emo_anticipation,trigger_score
than,521,197,0.3781190019193858,0.6142034548944337,0.12240076431147406,anticipation,113,0.30456852791878175,0.05950095969289827,0.02495201535508637,0.11516314779270634,0.015355086372360844,0.015355086372360844,0.019193857965451054,0.14779270633397312,0.21689059500959693,25.326995439413817
middle,186,79,0.42473118279569894,0.7365591397849462,0.24475644920198658,anticipation,44,0.30952380952380953,0.08602150537634409,0.04838709677419355,0.1881720430107527,0.005376344086021506,0.0,0.04838709677419355,0.12365591397849462,0.23655913978494625,28.40492834886554
east,157,70,0.445859872611465,0.8152866242038217,0.32348393362086203,anticipation,39,0.3125,0.10191082802547771,0.050955414012738856,0.21656050955414013,0.006369426751592357,0.0,0.05732484076433121,0.1337579617834395,0.2484076433121019,30.024479146145318
was,2342,976,0.41673783091374894,0.6639624252775406,0.1721597346945809,joy,369,0.4327956989247312,0.09479077711357814,0.04953031596925705,0.15755764304013664,0.018787361229718188,0.04312553373185312,0.039709649871904354,0.11272416737830913,0.14773697694278395,31.151585832938178
supposed,51,17,0.3333333333333333,0.5294117647058824,0.03760907412292269,trust,9,0.2857142857142857,0.0392156862745098,0.0,0.11764705882352941,0.0196078431372549,0.058823529411764705,0.0392156862745098,0.17647058823529413,0.0784313725490196,22.23205083909258
tough,117,37,0.3162393162393162,0.47863247863247865,-0.013170211950481014,anticipation,18,0.4117647058823529,0.02564102564102564,0.06837606837606838,0.09401709401709402,0.0,0.02564102564102564,0.03418803418803419,0.07692307692307693,0.15384615384615385,24.88790146892714
one,1164,455,0.390893470790378,0.6417525773195877,0.149949886736628,anticipation,241,0.3333333333333333,0.05240549828178694,0.04209621993127148,0.16666666666666666,0.012027491408934709,0.030927835051546393,0.022336769759450172,0.10824742268041238,0.20704467353951891,26.940661640207324
solved,50,26,0.52,0.88,0.38819730941704034,anticipation,22,0.6,0.14,0.04,0.12,0.02,0.04,0.04,0.04,0.44,42.17824545464416
this,2652,1297,0.4890648567119155,0.8672699849170438,0.3754672943340841,anticipation,709,0.3656618610747051,0.11463046757164404,0.05542986425339366,0.15912518853695323,0.014328808446455505,0.026018099547511313,0.024509803921568627,0.20588235294117646,0.26734539969834087,33.79991396427846
will,885,885,1.0,1.9220338983050846,1.4302312077221249,anticipation,1249,0.32657657657657657,0.09152542372881356,0.04971751412429379,0.14576271186440679,0.010169491525423728,0.012429378531073447,0.00903954802259887,0.192090395480226,1.4112994350282486,62.24373100347955
get,957,417,0.43573667711598746,0.696969696969697,0.20516700638673735,anticipation,323,0.40476190476190477,0.06165099268547544,0.0438871473354232,0.10658307210031348,0.018808777429467086,0.017763845350052248,0.008359456635318705,0.10240334378265413,0.3375130616509927,31.357768098320445
also,443,213,0.48081264108352145,0.8465011286681715,0.35469843808521184,anticipation,113,0.30952380952380953,0.06772009029345373,0.060948081264108354,0.1963882618510158,0.03160270880361174,0.01580135440180587,0.022573363431151242,0.1963882618510158,0.255079006772009,31.60494504837704
want,1387,484,0.34895457822638787,0.5573179524152848,0.06551526183232514,joy,196,0.3477508650519031,0.07065609228550829,0.05695746214852199,0.14131218457101657,0.005046863734679163,0.012256669069935111,0.023792357606344627,0.13049747656813265,0.11679884643114635,24.96084862080479
just,1149,425,0.3698868581375109,0.6031331592689295,0.11133046868596985,anticipation,195,0.3646055437100213,0.057441253263707574,0.047867711053089644,0.12445604873803308,0.02175805047867711,0.02175805047867711,0.025239338555265448,0.13489991296779807,0.16971279373368145,26.70248210138149
say,897,359,0.40022296544035674,0.6499442586399108,0.15814156805695112,anticipation,202,0.42780748663101603,0.07246376811594203,0.046822742474916385,0.15384615384615385,0.027870680044593088,0.03121516164994426,0.007803790412486065,0.08472686733556299,0.22519509476031216,30.219353253345297
hosting,12,4,0.3333333333333333,0.5,0.008197309417040333,anticipation,3,0.3333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.25,23.40466953944979
again,316,182,0.5759493670886076,1.018987341772152,0.5271846511891923,trust,104,0.1991701244813278,0.0949367088607595,0.04113924050632911,0.28164556962025317,0.006329113924050633,0.00949367088607595,0.012658227848101266,0.3291139240506329,0.24367088607594936,33.60084630929834
were,1002,424,0.4231536926147705,0.6656686626746507,0.17386597209169108,anticipation,187,0.3694690265486726,0.08183632734530938,0.05389221556886228,0.14770459081836326,0.011976047904191617,0.018962075848303395,0.027944111776447105,0.13672654690618763,0.18662674650698602,29.523268477667507
day,287,123,0.42857142857142855,0.7804878048780488,0.28868511429508914,joy,64,0.2077922077922078,0.04878048780487805,0.04529616724738676,0.2229965156794425,0.0,0.017421602787456445,0.020905923344947737,0.20209059233449478,0.2229965156794425,25.88887462497788
when,737,353,0.4789687924016282,0.8059701492537313,0.31416745867077167,anticipation,198,0.3485254691689008,0.06919945725915876,0.054274084124830396,0.19538670284938942,0.025780189959294438,0.027137042062415198,0.031207598371777476,0.13432835820895522,0.26865671641791045,32.34852438867116
israel,190,89,0.46842105263157896,0.8052631578947368,0.3134604673117771,anticipation,49,0.4845360824742268,0.11052631578947368,0.11578947368421053,0.18421052631578946,0.010526315789473684,0.010526315789473684,0.03684210526315789,0.07894736842105263,0.2578947368421053,36.00078068054558
egypt,29,14,0.4827586206896552,0.7931034482758621,0.30130075769290243,anticipation,9,0.2,0.034482758620689655,0.034482758620689655,0.27586206896551724,0.0,0.0,0.13793103448275862,0.0,0.3103448275862069,27.932382359699535
tremendous,153,153,1.0,1.9215686274509804,1.4297659368680207,joy,203,0.15444015444015444,0.0718954248366013,0.12418300653594772,1.326797385620915,0.026143790849673203,0.0392156862745098,0.026143790849673203,0.10457516339869281,0.20261437908496732,57.07558936967503
success,64,64,1.0,2.171875,1.6800723094170404,joy,94,0.07563025210084033,0.109375,0.015625,1.46875,0.0,0.015625,0.09375,0.25,0.21875,56.8895566635687
under,147,76,0.5170068027210885,0.8231292517006803,0.33132656111772063,anticipation,39,0.3625,0.047619047619047616,0.11564625850340136,0.1292517006802721,0.006802721088435374,0.027210884353741496,0.013605442176870748,0.21768707482993196,0.2653061224489796,34.43860597527268
your,891,443,0.49719416386083054,0.8080808080808081,0.3162781174978484,anticipation,230,0.2542016806722689,0.05499438832772166,0.052749719416386086,0.17059483726150393,0.016835016835016835,0.01122334455667789,0.015712682379349047,0.22783389450056116,0.25813692480359146,30.266193374234366
leadership,160,70,0.4375,0.725,0.2331973094170403,trust,35,0.3118279569892473,0.0625,0.09375,0.18125,0.01875,0.00625,0.0125,0.21875,0.13125,28.884213286632654
bringing,53,25,0.4716981132075472,0.9056603773584906,0.4138576867755309,trust,23,0.23684210526315788,0.05660377358490566,0.07547169811320754,0.11320754716981132,0.018867924528301886,0.018867924528301886,0.0,0.4339622641509434,0.18867924528301888,29.574739822965807
