entity_key,entity_name,entity_type,speech_count,avg_sentiment,std_sentiment,min_sentiment,max_sentiment,sentiment_range,volatility,avg_anger,avg_fear,avg_joy,avg_sadness,avg_surprise,avg_disgust,avg_trust,avg_anticipation,dominant_emotion,dominant_emotion_score,avg_anaphora_total,avg_contrast_markers,avg_repetition_density,avg_alliteration_count,avg_superlative_count,avg_question_count,avg_exclamation_count,rhetorical_intensity
GPE:Venezuela,Venezuela,GPE,8,0.9998750000000001,0.00015612494995994277,0.9995,1.0,0.0004999999999999449,0.00015612494995994277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,12.125,123.25,0.3500482784848651,721.875,38.375,72.0,0.0,138.28214975406928
GPE:Hawaii,Hawaii,GPE,3,0.9998,0.00021602468994690488,0.9995,1.0,0.0004999999999999449,0.00021602468994690488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,6.0,79.66666666666667,0.3534196041023529,438.6666666666667,26.666666666666668,44.0,0.0,85.05048851487176
GPE:Kiev,Kiev,GPE,8,0.995275,0.012312265226188075,0.9627,1.0,0.0373,0.012312265226188075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,10.5,109.375,0.4453947432022812,534.125,26.75,61.5,0.0,106.09934210617176
DATE:December 5th,December 5th,DATE,1,0.9999,0.0,0.9999,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,6.0,70.0,0.5953266855186784,370.0,13.0,67.0,0.0,75.22790381221695
DATE:thousands of years,thousands of years,DATE,7,0.9999714285714286,4.5175395145257586e-05,0.9999,1.0,9.999999999998899e-05,4.5175395145257586e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,13.571428571428571,130.57142857142858,0.41442386743338916,725.1428571428571,39.142857142857146,69.0,0.0,139.69185647085783
"DATE:500 to 3,000 years","500 to 3,000 years",DATE,1,0.9999,0.0,0.9999,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,6.0,70.0,0.5953266855186784,370.0,13.0,67.0,0.0,75.22790381221695
DATE:each day,each day,DATE,3,0.9999333333333333,4.714045207909798e-05,0.9999,1.0,9.999999999998899e-05,4.714045207909798e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,7.666666666666667,66.33333333333333,0.6038956327151057,391.3333333333333,18.0,62.666666666666664,2.6666666666666665,78.46722318562595
DATE:earlier in the week,earlier in the week,DATE,2,0.9999,0.0,0.9999,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,4.5,82.5,0.603629686461532,473.0,17.5,65.5,0.0,91.9433756694945
DATE:a few weeks ago,a few weeks ago,DATE,5,0.9998800000000001,7.483314773547058e-05,0.9998,1.0,0.00019999999999997797,7.483314773547058e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,10.6,102.6,0.42757588890846954,514.6,35.6,54.8,0.0,102.66108226984407
DATE:2022,2022,DATE,1,0.9999,0.0,0.9999,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,6.0,70.0,0.5953266855186784,370.0,13.0,67.0,0.0,75.22790381221695
DATE:years and years,years and years,DATE,2,0.99995,4.999999999999449e-05,0.9999,1.0,9.999999999998899e-05,4.999999999999449e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,7.0,109.0,0.3775227901319633,534.5,22.0,53.5,0.5,103.839646112876
